Date;HStart;HEnd;Summary;Location;Groupe;Intervenant
24/10/2024;08:00:00;10:00:00;Anglais1 ;B2;1ATP4; BEIGNON D AGOSTINO LAURE 
29/11/2024;08:00:00;11:00:00;Archi-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
28/11/2024;10:00:00;11:00:00;RLAN1 ;A5-A5bis;1A; FREITAS ANTONIO 
06/12/2024;08:00:00;11:00:00;Archi-Rés1 ;B8;1ATP3; FREITAS ANTONIO 
13/11/2024;15:00:00;18:00:00;Init-Rés1 ;C1bis;1ATP2; FREITAS ANTONIO 
11/12/2024;12:30:00;14:30:00;Archi-Sys1 ;B6;1ATP4; PERRIOT ROMAIN 
15/10/2024;12:30:00;13:30:00;SAE1.01;B7;1ATP4; GIRAUD NADINE 
23/09/2024;09:00:00;10:00:00;Init-Rés1 ;A5-A5bis;1A; FREITAS ANTONIO 
17/12/2024;09:00:00;11:00:00;SAE1.04;B6,B8;1ATDB;  
25/09/2024;08:00:00;10:00:00;Archi-Sys1 ;A6;1ATDA; JACQUET JEAN-PAUL 
10/12/2024;12:30:00;14:30:00;Prog1 ;B8;1ATP4; SIGURET ARNAUD 
17/12/2024;12:30:00;14:30:00;Anglais1 ;Labo multimédia A109;1ATP3; GORDON NATHALIE 
11/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5bis;1ATDB;COURSIMAULT DAVID 
16/10/2024;11:30:00;12:30:00;SAE1.01;B7;1ATP1; GIRAUD NADINE 
07/11/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP1; GORDON NATHALIE 
24/10/2024;06:00:00;08:00:00;Anglais1 ;B2;1ATP2; GORDON NATHALIE 
10/10/2024;08:00:00;10:00:00;Syst1 ;C5;1ATP1; JACQUET FREDERIQUE 
16/09/2024;09:00:00;10:00:00;Elec1 ;A5-A5bis;1A; CAPALLERA FLORENCE 
15/10/2024;11:30:00;12:30:00;SAE1.01;B7;1ATP4; GIRAUD NADINE 
16/10/2024;12:30:00;13:30:00;SAE1.01;B7;1ATP1; GIRAUD NADINE 
17/09/2024;06:00:00;08:00:00;Math-Signal1 ;A5;1ATDA;COURSIMAULT DAVID 
11/10/2024;11:30:00;13:30:00;SAE1.03;A5,B3;1ATDA;  
08/11/2024;08:00:00;11:00:00;Elec1 ;B1bis;1ATP4; CAPALLERA FLORENCE 
27/09/2024;08:00:00;10:00:00;SAE1.02;C1bis;1ATP2; ZAYENE MARIEM 
03/10/2024;13:30:00;15:30:00;Anglais1 ;Labo multimédia A109;1ATDB; BEIGNON D AGOSTINO LAURE 
21/10/2024;06:00:00;08:00:00;Syst1 ;B3;1ATDB; JACQUET FREDERIQUE 
24/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5bis;1ATDA;COURSIMAULT DAVID 
